days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
202	0.602697	0.123700	0.018334	0.004487	0.009553	0.000859	0.000063	0.240306	0.036093
203	0.594268	0.124481	0.018484	0.004548	0.009662	0.000858	0.000063	0.247636	0.037369
204	0.585844	0.125181	0.018615	0.004596	0.009778	0.000858	0.000063	0.255064	0.038656
205	0.577480	0.125753	0.018733	0.004648	0.009881	0.000860	0.000064	0.262582	0.039960
206	0.569148	0.126240	0.018826	0.004697	0.009979	0.000857	0.000064	0.270190	0.041283
207	0.560897	0.126622	0.018866	0.004740	0.010069	0.000858	0.000064	0.277884	0.042617
208	0.552742	0.126860	0.018936	0.004759	0.010140	0.000858	0.000064	0.285641	0.043976
209	0.544665	0.126972	0.018990	0.004798	0.010205	0.000857	0.000064	0.293449	0.045342
210	0.536680	0.126955	0.019020	0.004830	0.010279	0.000858	0.000063	0.301315	0.046719
211	0.528799	0.126819	0.019028	0.004858	0.010333	0.000858	0.000064	0.309242	0.048115
212	0.520972	0.126614	0.019032	0.004871	0.010362	0.000856	0.000064	0.317229	0.049511
213	0.513266	0.126282	0.019001	0.004897	0.010401	0.000856	0.000064	0.325233	0.050917
214	0.505676	0.125828	0.018969	0.004891	0.010437	0.000856	0.000065	0.333279	0.052333
215	0.498203	0.125261	0.018917	0.004910	0.010445	0.000859	0.000064	0.341341	0.053758
216	0.490859	0.124583	0.018847	0.004919	0.010450	0.000855	0.000065	0.349424	0.055193
217	0.483633	0.123804	0.018746	0.004916	0.010457	0.000856	0.000065	0.357523	0.056621
218	0.476523	0.122947	0.018629	0.004893	0.010454	0.000854	0.000065	0.365635	0.058045
219	0.469585	0.121958	0.018502	0.004886	0.010421	0.000855	0.000065	0.373727	0.059482
220	0.462763	0.120893	0.018364	0.004862	0.010397	0.000854	0.000065	0.381803	0.060915
221	0.456081	0.119722	0.018217	0.004851	0.010350	0.000854	0.000066	0.389859	0.062350
